user_id,persona,trend_affinity,age_group,gender_identity,income_bracket,dietary_restriction
U00204,budget,clean-label,55+,Woman,Low,Kosher
U00205,casual,gut-health,25-34,Man,Medium,None
U00206,budget,protein,35-44,Woman,Low,None
U00207,budget,plant-based,25-34,Man,Low,None
U00208,fitness,plant-based,18-24,Non-binary,Low,None
U00209,budget,plant-based,45-54,Non-binary,High,Jain
U00210,budget,plant-based,35-44,Man,High,Vegan
U00211,budget,protein,18-24,Non-binary,Low,Jain
U00212,casual,gut-health,55+,Man,Medium,Kosher
U00213,premium,protein,18-24,Woman,Low,Vegetarian
U00214,casual,gut-health,55+,Non-binary,Low,None
U00215,budget,clean-label,18-24,Woman,Low,None
U00216,casual,gut-health,35-44,Man,Medium,Vegan
U00217,casual,low-sugar,45-54,Woman,Medium,Pescatarian
U00218,premium,clean-label,25-34,Woman,Low,None
U00219,,gut-health,25-34,Man,Medium,None
U00220,fitness,gut-health,35-44,Woman,High,Kosher
U00221,budget,clean-label,25-34,Woman,Low,Halal
U00222,fitness,low-sugar,18-24,Non-binary,Low,None
U00223,casual,protein,45-54,Woman,Medium,None
U00224,fitness,clean-label,45-54,Man,High,None
U00225,,gut-health,45-54,Man,Low,Vegetarian
U00226,,gut-health,18-24,Woman,Medium,Halal
U00227,fitness,clean-label,35-44,Woman,Low,Vegetarian
U00228,premium,clean-label,18-24,Man,High,None
U00229,premium,low-sugar,55+,Man,Low,None
U00230,casual,protein,35-44,Man,Medium,Kosher
U00231,premium,low-sugar,45-54,Woman,Medium,None
U00232,budget,plant-based,18-24,Woman,High,None
U00233,premium,gut-health,35-44,Man,Medium,None
U00234,premium,protein,35-44,Woman,Low,None
U00235,premium,clean-label,25-34,Woman,Medium,None
U00236,fitness,protein,45-54,Man,Medium,Vegetarian
U00237,premium,clean-label,18-24,Woman,Low,Vegan
U00238,,clean-label,25-34,Man,Medium,Vegetarian
U00239,casual,plant-based,25-34,Non-binary,High,None
U00240,fitness,plant-based,25-34,Man,High,None
U00241,budget,protein,35-44,Man,Medium,None
U00242,casual,gut-health,55+,Man,Medium,None
U00243,premium,clean-label,35-44,Man,Low,Vegan
U00244,budget,plant-based,35-44,Non-binary,High,None
U00245,budget,clean-label,35-44,Man,Medium,None
U00246,budget,protein,25-34,Woman,High,None
U00247,budget,protein,25-34,Man,Low,Halal
U00248,casual,clean-label,55+,Man,Low,Vegan
U00249,casual,gut-health,18-24,Woman,Medium,None
U00250,casual,clean-label,25-34,Woman,Medium,None
U00251,budget,clean-label,18-24,Woman,Medium,Vegetarian
U00252,casual,plant-based,18-24,Man,Low,None
U00253,fitness,plant-based,45-54,Woman,High,None
U00254,fitness,clean-label,18-24,Man,High,None
U00255,budget,clean-label,25-34,Man,High,None
U00256,fitness,protein,18-24,Woman,Medium,None
U00257,fitness,plant-based,18-24,Man,Low,Vegetarian
U00258,budget,gut-health,18-24,Man,Low,None
U00259,casual,low-sugar,18-24,Woman,Low,None
U00260,fitness,clean-label,35-44,Woman,Medium,None
U00261,fitness,clean-label,25-34,Woman,High,None
U00262,casual,gut-health,35-44,Woman,Medium,Kosher
U00263,premium,plant-based,18-24,Woman,High,None
U00264,premium,low-sugar,18-24,Woman,Medium,Halal
U00265,budget,gut-health,25-34,Man,High,None
U00266,casual,protein,25-34,Man,High,None
U00267,budget,plant-based,25-34,Non-binary,Medium,None
U00268,premium,low-sugar,35-44,Prefer not to say,Medium,None
U00269,fitness,clean-label,18-24,Woman,Medium,Pescatarian
U00270,budget,plant-based,25-34,Woman,Medium,Vegetarian
U00271,premium,clean-label,25-34,Man,Medium,Halal
U00272,,low-sugar,35-44,Man,Medium,Vegan
U00273,budget,gut-health,25-34,Man,High,Pescatarian
U00274,budget,gut-health,18-24,Woman,Medium,None
U00275,premium,low-sugar,55+,Man,Low,Vegan
U00276,premium,gut-health,25-34,Woman,Medium,None
U00277,budget,gut-health,18-24,Man,High,None
U00278,premium,protein,35-44,Woman,Medium,Kosher
U00279,,protein,25-34,Man,Medium,None
U00280,fitness,protein,45-54,Woman,Low,Jain
U00281,fitness,clean-label,35-44,Man,Medium,Vegan
U00282,fitness,low-sugar,25-34,Woman,Medium,Pescatarian
U00283,budget,low-sugar,18-24,Woman,Medium,None
U00284,premium,protein,35-44,Woman,Low,Vegetarian
U00285,fitness,gut-health,18-24,Man,Low,None
U00286,casual,gut-health,35-44,Woman,High,None
U00287,casual,plant-based,18-24,Man,Low,None
U00288,casual,gut-health,35-44,Man,Medium,None
U00289,premium,gut-health,25-34,Man,Medium,None
U00290,budget,low-sugar,18-24,Man,Medium,None
U00291,premium,protein,25-34,Man,High,Vegan
U00292,,clean-label,25-34,Man,Low,Kosher
U00293,budget,gut-health,25-34,Woman,Medium,Vegetarian
U00294,budget,clean-label,25-34,Woman,Medium,None
U00295,casual,plant-based,45-54,Woman,High,None
U00296,premium,low-sugar,25-34,Woman,High,None
U00297,fitness,low-sugar,45-54,Woman,Medium,None
U00298,casual,protein,18-24,Woman,Medium,Jain
U00299,casual,low-sugar,55+,Man,Medium,None
U00300,premium,protein,18-24,Woman,Low,Vegan
U00301,premium,low-sugar,25-34,Woman,High,Halal
U00302,budget,gut-health,18-24,Man,Medium,None
U00303,casual,protein,35-44,Woman,Medium,None
U00304,,protein,25-34,Woman,High,None
U00305,,gut-health,25-34,Man,Medium,None
U00306,premium,clean-label,55+,Woman,Medium,Kosher
U00307,casual,low-sugar,25-34,Man,Medium,None
U00308,fitness,gut-health,35-44,Woman,Low,None
U00309,casual,clean-label,18-24,Woman,Low,None
U00310,fitness,plant-based,55+,Woman,Medium,Vegan
U00311,fitness,plant-based,25-34,Woman,Medium,Pescatarian
U00312,premium,gut-health,35-44,Woman,Low,Vegan
U00313,casual,gut-health,25-34,Woman,High,None
U00314,budget,plant-based,18-24,Prefer not to say,Low,Kosher
U00315,casual,plant-based,18-24,Man,Medium,None
U00316,casual,protein,25-34,Woman,Medium,None
U00317,fitness,low-sugar,25-34,Man,Medium,None
U00318,budget,clean-label,25-34,Man,Medium,None
U00319,fitness,clean-label,25-34,Woman,Medium,None
U00320,premium,low-sugar,25-34,Man,High,Kosher
U00321,premium,low-sugar,25-34,Woman,Medium,Vegetarian
U00322,,gut-health,35-44,Woman,Low,None
U00323,casual,clean-label,18-24,Man,Low,None
U00324,,low-sugar,25-34,Man,Medium,None
U00325,,plant-based,25-34,Man,Medium,Vegetarian
U00326,premium,plant-based,55+,Man,Medium,Vegan
U00327,budget,plant-based,25-34,Man,Low,Pescatarian
U00328,fitness,low-sugar,35-44,Man,High,None
U00329,fitness,protein,45-54,Man,Low,None
U00330,budget,protein,25-34,Man,High,None
U00331,casual,clean-label,25-34,Man,Medium,Pescatarian
U00332,fitness,protein,18-24,Woman,Medium,Kosher
U00333,fitness,plant-based,25-34,Man,Low,None
U00334,fitness,plant-based,18-24,Man,Low,Pescatarian
U00335,fitness,gut-health,45-54,Woman,Medium,Pescatarian
U00336,premium,clean-label,25-34,Man,Medium,None
U00337,casual,protein,18-24,Non-binary,Low,Halal
U00338,fitness,protein,25-34,Man,Medium,None
U00339,casual,gut-health,35-44,Man,Medium,Vegetarian
U00340,casual,protein,45-54,Man,Low,None
U00341,budget,gut-health,18-24,Non-binary,Low,Jain
U00342,,plant-based,18-24,Woman,High,None
U00343,fitness,low-sugar,25-34,Woman,Medium,None
U00344,premium,gut-health,25-34,Woman,Medium,None
U00345,budget,clean-label,45-54,Man,Low,None
U00346,casual,protein,35-44,Man,Medium,Pescatarian
U00347,fitness,clean-label,55+,Man,High,None
U00348,casual,gut-health,35-44,Woman,Low,None
U00349,fitness,clean-label,45-54,Man,Medium,Kosher
U00350,casual,clean-label,25-34,Woman,Medium,None
U00351,casual,protein,18-24,Woman,Medium,None
U00352,premium,clean-label,45-54,Man,Medium,None
U00353,fitness,low-sugar,25-34,Man,Medium,Vegan
U00354,fitness,gut-health,35-44,Woman,Medium,None
U00355,budget,clean-label,45-54,Man,High,None
U00356,fitness,protein,25-34,Man,Medium,None
U00357,budget,clean-label,18-24,Man,Medium,None
U00358,casual,gut-health,55+,Man,High,Halal
U00359,budget,low-sugar,45-54,Man,Medium,None
U00360,budget,gut-health,25-34,Woman,High,None
U00361,casual,low-sugar,35-44,Man,Medium,Halal
U00362,budget,low-sugar,25-34,Non-binary,Medium,None
U00363,casual,low-sugar,35-44,Man,High,Vegan
U00364,budget,gut-health,18-24,Non-binary,Medium,Vegan
U00365,fitness,gut-health,25-34,Man,High,None
U00366,fitness,plant-based,25-34,Man,Medium,None
U00367,premium,protein,25-34,Woman,Low,Vegan
U00368,premium,protein,35-44,Woman,High,None
U00369,casual,plant-based,35-44,Woman,Low,None
U00370,budget,protein,55+,Woman,Medium,None
U00371,,protein,35-44,Man,High,None
U00372,budget,plant-based,25-34,Man,High,None
U00373,fitness,clean-label,25-34,Man,Medium,None
U00374,premium,protein,25-34,Man,Medium,None
U00375,fitness,gut-health,35-44,Man,Medium,None
U00376,budget,gut-health,25-34,Woman,Medium,None
U00377,fitness,low-sugar,18-24,Woman,Medium,None
U00378,budget,low-sugar,18-24,Woman,Medium,Halal
U00379,fitness,plant-based,18-24,Woman,Low,Jain
U00380,budget,plant-based,18-24,Woman,Medium,None
U00381,premium,protein,55+,Man,Low,None
U00382,casual,protein,35-44,Man,High,Vegan
U00383,premium,low-sugar,25-34,Man,Low,None
U00384,fitness,clean-label,25-34,Woman,Low,None
U00385,budget,gut-health,45-54,Woman,Medium,Halal
U00386,fitness,protein,35-44,Woman,Low,None
U00387,budget,clean-label,18-24,Woman,High,None
U00388,budget,gut-health,18-24,Man,Medium,Vegetarian
U00389,fitness,protein,55+,Woman,Low,Kosher
U00390,budget,plant-based,25-34,Woman,Low,Vegan
U00391,fitness,plant-based,55+,Woman,Medium,None
U00392,fitness,protein,18-24,Man,Medium,None
U00393,casual,low-sugar,25-34,Woman,High,None
U00394,casual,low-sugar,35-44,Man,Low,None
U00395,budget,plant-based,55+,Man,Medium,Vegan
U00396,casual,gut-health,25-34,Man,Low,None
U00397,premium,clean-label,18-24,Non-binary,Medium,None
U00398,casual,plant-based,18-24,Man,High,None
U00399,casual,clean-label,25-34,Man,High,Vegan
U00400,premium,protein,25-34,Man,High,Halal
U00401,casual,clean-label,18-24,Man,Medium,None
U00402,casual,clean-label,35-44,Man,Medium,None
U00403,fitness,protein,18-24,Man,Medium,Halal
U00404,casual,protein,55+,Woman,Medium,None
U00405,fitness,clean-label,25-34,Woman,Medium,Jain
U00406,casual,plant-based,18-24,Woman,Medium,Pescatarian
U00407,fitness,low-sugar,25-34,Man,High,None
U00408,premium,low-sugar,35-44,Woman,Medium,Vegetarian
U00409,casual,gut-health,35-44,Woman,High,None
U00410,budget,low-sugar,45-54,Man,Medium,None
U00411,casual,low-sugar,35-44,Woman,Low,None
U00412,premium,low-sugar,25-34,Man,High,None
U00413,fitness,clean-label,18-24,Woman,Medium,None
U00414,casual,plant-based,35-44,Man,Medium,None
U00415,premium,protein,35-44,Man,High,Kosher
U00416,budget,low-sugar,25-34,Woman,Low,None
U00417,casual,gut-health,35-44,Woman,Low,None
U00418,premium,clean-label,35-44,Man,High,None
U00419,budget,plant-based,25-34,Woman,Low,None
U00420,casual,gut-health,55+,Non-binary,High,None
U00421,,low-sugar,35-44,Man,Low,None
U00422,,protein,18-24,Man,Medium,Pescatarian
U00423,,gut-health,45-54,Woman,Medium,Kosher
U00424,casual,plant-based,45-54,Non-binary,High,Halal
U00425,fitness,protein,35-44,Man,Medium,Vegetarian
U00426,premium,low-sugar,25-34,Man,High,Halal
U00427,budget,plant-based,18-24,Man,Medium,None
U00428,premium,gut-health,55+,Man,Medium,Vegan
U00429,premium,low-sugar,25-34,Woman,High,Vegetarian
U00430,,protein,18-24,Woman,Low,Kosher
U00431,premium,protein,25-34,Man,Low,None
U00432,casual,clean-label,45-54,Woman,Low,Vegan
U00433,casual,gut-health,18-24,Prefer not to say,Low,Vegetarian
U00434,casual,gut-health,35-44,Woman,Medium,None
U00435,budget,plant-based,18-24,Woman,Medium,Vegan
U00436,premium,protein,25-34,Woman,Medium,None
U00437,fitness,plant-based,25-34,Man,Medium,None
U00438,budget,protein,35-44,Man,Medium,Vegetarian
U00439,fitness,low-sugar,25-34,Man,Low,Vegan
U00440,premium,low-sugar,25-34,Man,Low,None
U00441,budget,low-sugar,25-34,Woman,Medium,Pescatarian
U00442,casual,low-sugar,55+,Man,Medium,None
U00443,premium,low-sugar,18-24,Man,Medium,Vegan
U00444,casual,gut-health,55+,Woman,Medium,Vegetarian
U00445,premium,clean-label,18-24,Man,High,None
U00446,,protein,18-24,Man,Medium,None
U00447,casual,low-sugar,45-54,Man,Low,None
U00448,premium,clean-label,45-54,Non-binary,High,None
U00449,premium,plant-based,25-34,Man,Low,Kosher
U00450,fitness,protein,55+,Woman,Low,None
U00451,budget,plant-based,35-44,Woman,Low,None
U00452,budget,low-sugar,25-34,Man,Low,Jain
U00453,budget,gut-health,55+,Man,Medium,None
U00454,fitness,plant-based,35-44,Woman,Low,Vegetarian
U00455,premium,gut-health,35-44,Woman,High,None
U00456,,clean-label,25-34,Woman,Medium,None
U00457,premium,gut-health,18-24,Woman,Medium,Vegan
U00458,budget,plant-based,25-34,Man,Low,None
U00459,budget,low-sugar,45-54,Man,Medium,Halal
U00460,fitness,protein,35-44,Man,Medium,Vegetarian
U00461,premium,low-sugar,45-54,Man,Low,None
U00462,budget,plant-based,18-24,Woman,Low,None
U00463,premium,protein,45-54,Man,Low,Vegan
U00464,premium,clean-label,18-24,Prefer not to say,Medium,Vegan
U00465,budget,plant-based,35-44,Woman,Medium,None
U00466,budget,gut-health,25-34,Man,High,None
U00467,budget,protein,35-44,Man,Low,Jain
U00468,fitness,clean-label,35-44,Woman,Medium,None
U00469,casual,protein,35-44,Man,Low,None
U00470,premium,plant-based,55+,Woman,Medium,None
U00471,casual,gut-health,18-24,Non-binary,Medium,None
U00472,budget,protein,18-24,Prefer not to say,High,Halal
U00473,fitness,gut-health,45-54,Woman,High,None
U00474,fitness,clean-label,18-24,Woman,High,None
U00475,fitness,gut-health,18-24,Prefer not to say,Low,Kosher
U00476,fitness,clean-label,45-54,Woman,Low,None
U00477,fitness,gut-health,45-54,Man,Medium,Vegetarian
U00478,budget,protein,18-24,Woman,High,None
U00479,premium,low-sugar,25-34,Woman,Medium,None
U00480,,protein,25-34,Non-binary,Medium,None
U00481,fitness,gut-health,25-34,Woman,High,Pescatarian
U00482,fitness,plant-based,35-44,Man,Low,Kosher
U00483,casual,protein,25-34,Woman,Medium,Kosher
U00484,fitness,protein,35-44,Man,Medium,None
U00485,budget,clean-label,25-34,Woman,Medium,Jain
U00486,budget,plant-based,35-44,Woman,Low,None
U00487,,low-sugar,18-24,Man,Medium,None
U00488,fitness,plant-based,18-24,Non-binary,Medium,Vegan
U00489,premium,protein,18-24,Man,Medium,None
U00490,casual,low-sugar,45-54,Woman,Medium,None
U00491,budget,gut-health,18-24,Prefer not to say,Low,None
U00492,premium,gut-health,25-34,Woman,Medium,Vegan
U00493,casual,protein,45-54,Man,Medium,None
U00494,fitness,low-sugar,55+,Woman,Medium,None
U00495,premium,protein,45-54,Man,Medium,Pescatarian
U00496,fitness,low-sugar,45-54,Woman,Medium,None
U00497,premium,plant-based,18-24,Woman,Medium,Pescatarian
U00498,budget,clean-label,55+,Man,Medium,None
U00499,premium,clean-label,18-24,Woman,Low,Kosher
U00500,casual,gut-health,18-24,Woman,High,Vegetarian
U00501,fitness,clean-label,25-34,Man,High,None
U00502,premium,gut-health,18-24,Woman,Medium,None
U00503,premium,low-sugar,18-24,Man,Medium,None
U00504,fitness,low-sugar,18-24,Man,Low,None
U00505,budget,gut-health,35-44,Woman,Medium,Jain
U00506,premium,low-sugar,25-34,Woman,Low,None
U00507,fitness,gut-health,25-34,Man,Medium,None
U00508,,protein,55+,Woman,Low,None
U00509,fitness,clean-label,35-44,Man,Medium,None
U00510,budget,clean-label,25-34,Man,Medium,None
U00511,fitness,gut-health,25-34,Woman,High,None
U00512,budget,plant-based,18-24,Man,Low,None
U00513,budget,protein,25-34,Woman,Low,None
U00514,budget,clean-label,45-54,Non-binary,High,Vegetarian
U00515,budget,low-sugar,45-54,Woman,Low,Vegan
U00516,casual,gut-health,25-34,Woman,High,None
U00517,fitness,plant-based,18-24,Woman,Medium,None
U00518,premium,low-sugar,25-34,Man,Low,None
U00519,budget,low-sugar,55+,Woman,Medium,None
U00520,fitness,protein,25-34,Man,Medium,None
U00521,budget,gut-health,25-34,Woman,Low,None
U00522,casual,clean-label,25-34,Man,Medium,None
U00523,casual,low-sugar,35-44,Woman,High,Vegan
U00524,fitness,plant-based,18-24,Man,Low,Pescatarian
U00525,budget,clean-label,25-34,Man,Medium,None
U00526,fitness,gut-health,35-44,Man,Medium,Vegetarian
U00527,premium,plant-based,25-34,Man,High,None
U00528,casual,clean-label,35-44,Man,Low,None
U00529,budget,low-sugar,55+,Woman,Low,None
U00530,budget,clean-label,18-24,Man,Medium,Jain
U00531,budget,plant-based,35-44,Man,High,None
