order_id,state,city_tier,occasion
ORD000081,Georgia,Tier 1,road-trip
ORD000082,New York,Tier 3,religious-fasting
ORD000083,New York,Tier 2,road-trip
ORD000084,Colorado,Tier 1,marathon-prep
ORD000086,New York,Tier 1,marathon-prep
ORD000087,Washington,Tier 1,late-night
ORD000088,Colorado,Unknown,road-trip
ORD000089,Florida,Tier 1,late-night
ORD000091,Texas,Tier 2,on-the-go
ORD000092,Florida,Tier 3,marathon-prep
ORD000093,Colorado,Tier 3,religious-fasting
ORD000094,NY,Tier 1,late-night
ORD000095,Illinois,Tier 3,late-night
ORD000096,Colorado,Tier 2,on-the-go
ORD000097,Texas,Tier 2,on-the-go
ORD000098,Calfornia,Tier 1,daily snack
ORD000099,New York,Tier 1,late-night
ORD000100,Calfornia,Tier 1,marathon-prep
ORD000101,Calfornia,Tier 2,marathon-prep
ORD000102,Washington,Tier 1,late-night
ORD000103,Florida,Tier 2,daily snack
ORD000104,Calfornia,Tier 1,festive
ORD000105,Washington,Tier 2,daily snack
ORD000106,Texas,Unknown,festive
ORD000107,Georgia,Tier 3,road-trip
ORD000108,NY,Tier 1,road-trip
ORD000109,Illinois,Unknown,late-night
ORD000110,Texas,Tier 2,marathon-prep
ORD000111,Colorado,Tier 3,on-the-go
ORD000112,Washington,Tier 2,late-night
ORD000113,Georgia,Tier 1,daily snack
ORD000114,Georgia,Tier 1,festive
ORD000115,Washington,Tier 1,road-trip
ORD000116,Texas,Tier 2,marathon-prep
ORD000117,Florida,Tier 1,religious-fasting
ORD000118,Washington,Tier 1,on-the-go
ORD000120,Texas,Tier 2,daily snack
ORD000121,Illinois,Tier 2,late-night
ORD000122,California,Tier 3,daily snack
ORD000123,Washington,Tier 2,religious-fasting
ORD000124,NY,Unknown,religious-fasting
ORD000125,Florida,Tier 1,late-night
ORD000126,Washington,Tier 1,late-night
ORD000127,Georgia,Unknown,on-the-go
ORD000128,Georgia,Tier 2,marathon-prep
ORD000129,New York,Tier 2,religious-fasting
ORD000130,Illinois,Tier 2,religious-fasting
ORD000131,New York,Tier 1,late-night
ORD000132,NY,Tier 1,late-night
ORD000133,Georgia,Tier 2,marathon-prep
ORD000134,New York,Tier 2,on-the-go
ORD000135,Georgia,Tier 3,on-the-go
ORD000136,Texas,Tier 1,late-night
ORD000137,Washington,Tier 3,marathon-prep
ORD000138,Florida,Tier 2,daily snack
ORD000139,Washington,Unknown,marathon-prep
ORD000140,Texas,Tier 2,religious-fasting
ORD000141,Illinois,Tier 2,daily snack
ORD000142,California,Tier 2,gym
ORD000143,NY,Tier 3,late-night
ORD000144,NY,Tier 2,on-the-go
ORD000145,Texas,Tier 1,daily snack
ORD000146,New York,Tier 1,festive
ORD000147,Georgia,Tier 2,road-trip
ORD000148,Florida,Tier 2,road-trip
ORD000149,Washington,Tier 3,religious-fasting
ORD000152,Florida,Unknown,marathon-prep
ORD000153,New York,Unknown,late-night
ORD000154,Georgia,Tier 2,late-night
ORD000155,Colorado,Tier 1,late-night
ORD000156,Colorado,Unknown,on-the-go
ORD000157,Florida,Tier 2,on-the-go
ORD000158,California,Tier 3,daily snack
ORD000159,Georgia,Tier 1,marathon-prep
ORD000160,Georgia,Tier 3,on-the-go
ORD000161,California,Tier 3,road-trip
ORD000162,Florida,Tier 2,road-trip
ORD000163,New York,Tier 2,daily snack
ORD000164,Florida,Tier 2,gym
ORD000165,New York,Tier 2,road-trip
ORD000166,Illinois,Tier 2,road-trip
ORD000167,Illinois,Tier 1,festive
ORD000168,California,Tier 1,on-the-go
ORD000169,New York,Tier 1,late-night
ORD000170,Washington,Tier 1,road-trip
ORD000172,Colorado,Tier 1,late-night
ORD000173,California,Tier 2,festive
ORD000174,Florida,Tier 1,late-night
ORD000175,Illinois,Tier 1,late-night
ORD000176,Calfornia,Tier 3,religious-fasting
ORD000177,NY,Tier 2,gym
ORD000178,Washington,Tier 3,festive
ORD000179,California,Tier 3,late-night
ORD000180,California,Tier 1,on-the-go
ORD000181,Texas,Tier 3,late-night
ORD000182,Texas,Tier 1,marathon-prep
ORD000183,Colorado,Tier 1,festive
ORD000184,New York,Unknown,festive
ORD000185,Texas,Tier 3,road-trip
ORD000186,New York,Tier 1,late-night
ORD000187,California,Tier 1,late-night
ORD000188,Calfornia,Tier 1,religious-fasting
ORD000189,New York,Tier 1,road-trip
ORD000190,Texas,Tier 3,festive
ORD000191,Georgia,Tier 3,road-trip
ORD000192,Florida,Tier 1,on-the-go
ORD000193,California,Tier 1,late-night
ORD000194,Texas,Tier 3,daily snack
ORD000195,Illinois,Tier 1,late-night
ORD000196,Florida,Tier 1,on-the-go
ORD000197,Calfornia,Tier 2,daily snack
ORD000198,Illinois,Tier 2,late-night
ORD000199,California,Unknown,gym
ORD000200,Illinois,Tier 2,gym
ORD000202,New York,Tier 1,marathon-prep
ORD000203,Washington,Unknown,festive
ORD000205,Colorado,Tier 2,late-night
ORD000206,California,Unknown,marathon-prep
ORD000207,NY,Tier 2,on-the-go
ORD000208,New York,Unknown,festive
ORD000209,Texas,Tier 1,daily snack
ORD000210,Calfornia,Tier 1,late-night
ORD000211,Georgia,Tier 2,late-night
ORD000212,New York,Tier 1,daily snack
ORD000213,Georgia,Tier 2,on-the-go
ORD000215,NY,Tier 2,road-trip
ORD000216,Colorado,Tier 1,road-trip
ORD000217,Colorado,Tier 2,on-the-go
ORD000218,Illinois,Tier 2,daily snack
ORD000219,Florida,Tier 1,religious-fasting
ORD000220,Illinois,Tier 3,road-trip
ORD000221,California,Tier 2,late-night
ORD000222,Colorado,Tier 3,festive
ORD000223,Calfornia,Tier 3,road-trip
ORD000224,New York,Tier 2,gym
ORD000225,Colorado,Tier 2,marathon-prep
ORD000226,Washington,Tier 3,late-night
ORD000227,NY,Tier 2,religious-fasting
ORD000228,NY,Tier 1,late-night
ORD000229,Illinois,Tier 1,late-night
ORD000230,Colorado,Tier 3,religious-fasting
ORD000231,Georgia,Tier 2,road-trip
ORD000232,New York,Tier 2,daily snack
ORD000233,Colorado,Tier 1,late-night
ORD000234,New York,Unknown,festive
ORD000235,NY,Tier 2,late-night
ORD000236,NY,Tier 2,road-trip
ORD000237,New York,Tier 1,daily snack
ORD000238,Florida,Unknown,late-night
ORD000239,Washington,Unknown,late-night
ORD000240,California,Tier 3,road-trip
ORD000241,Calfornia,Tier 2,religious-fasting
ORD000242,California,Tier 1,road-trip
ORD000243,NY,Tier 1,late-night
ORD000244,New York,Tier 2,late-night
ORD000245,California,Tier 1,gym
ORD000246,Texas,Tier 3,daily snack
ORD000247,California,Unknown,festive
ORD000248,Calfornia,Tier 3,gym
ORD000249,Florida,Unknown,festive
ORD000250,Washington,Tier 1,late-night
ORD000251,NY,Tier 2,religious-fasting
ORD000252,Calfornia,Tier 3,road-trip
ORD000253,Calfornia,Tier 3,road-trip
ORD000254,Washington,Tier 3,festive
ORD000255,NY,Tier 2,festive
ORD000256,NY,Tier 1,religious-fasting
ORD000257,California,Tier 2,daily snack
ORD000258,NY,Tier 2,daily snack
ORD000259,Washington,Tier 1,religious-fasting
ORD000260,California,Tier 3,late-night
ORD000261,NY,Tier 3,on-the-go
ORD000262,Calfornia,Tier 3,on-the-go
ORD000263,New York,Tier 3,late-night
ORD000264,Georgia,Tier 1,late-night
ORD000265,Washington,Tier 2,on-the-go
ORD000266,NY,Tier 1,festive
ORD000267,Illinois,Tier 1,late-night
ORD000268,Illinois,Tier 1,late-night
ORD000269,NY,Unknown,religious-fasting
ORD000270,Calfornia,Tier 3,marathon-prep
ORD000271,Texas,Tier 1,late-night
ORD000273,Texas,Tier 1,gym
ORD000274,Florida,Tier 1,festive
ORD000275,Washington,Tier 1,religious-fasting
ORD000276,Georgia,Tier 3,road-trip
ORD000277,California,Tier 1,late-night
ORD000278,Georgia,Tier 2,on-the-go
ORD000279,California,Tier 3,road-trip
ORD000280,New York,Tier 3,marathon-prep
ORD000281,Calfornia,Tier 2,festive
ORD000282,California,Tier 2,road-trip
ORD000283,Washington,Tier 2,festive
ORD000284,NY,Tier 2,marathon-prep
ORD000285,Calfornia,Tier 2,road-trip
ORD000286,Florida,Tier 3,gym
ORD000287,Florida,Tier 2,daily snack
ORD000288,New York,Tier 2,festive
ORD000289,Texas,Unknown,marathon-prep
ORD000290,Washington,Tier 1,on-the-go
ORD000291,Texas,Tier 1,road-trip
ORD000292,Colorado,Tier 2,daily snack
ORD000293,California,Tier 1,late-night
ORD000294,Texas,Tier 2,religious-fasting
ORD000295,California,Tier 2,on-the-go
ORD000296,Texas,Tier 1,religious-fasting
ORD000297,California,Tier 2,road-trip
ORD000298,Georgia,Tier 1,daily snack
ORD000299,Calfornia,Tier 1,festive
ORD000300,Illinois,Tier 2,road-trip
ORD000301,Texas,Unknown,road-trip
ORD000302,Colorado,Tier 1,festive
ORD000303,Washington,Tier 1,late-night
ORD000304,California,Tier 1,festive
ORD000305,Colorado,Tier 2,late-night
ORD000306,Colorado,Tier 2,gym
ORD000307,California,Tier 1,daily snack
ORD000308,NY,Tier 1,road-trip
ORD000309,Georgia,Tier 3,late-night
ORD000310,New York,Unknown,religious-fasting
ORD000311,Texas,Tier 3,on-the-go
ORD000312,Washington,Unknown,religious-fasting
ORD000313,Georgia,Tier 3,on-the-go
ORD000314,Illinois,Tier 3,festive
ORD000315,Calfornia,Tier 2,gym
ORD000316,New York,Tier 2,marathon-prep
ORD000317,California,Tier 1,marathon-prep
ORD000318,NY,Tier 3,religious-fasting
ORD000319,Texas,Tier 1,late-night
ORD000321,Georgia,Tier 2,on-the-go
ORD000322,California,Tier 3,marathon-prep
ORD000323,California,Tier 1,late-night
ORD000324,Illinois,Tier 2,late-night
ORD000325,Texas,Tier 2,daily snack
ORD000326,California,Tier 2,religious-fasting
ORD000328,Colorado,Tier 1,road-trip
ORD000329,Washington,Tier 1,late-night
ORD000330,New York,Tier 3,road-trip
ORD000331,Florida,Unknown,late-night
ORD000332,NY,Tier 1,marathon-prep
ORD000333,New York,Tier 2,road-trip
ORD000334,NY,Tier 2,on-the-go
ORD000335,Texas,Tier 1,on-the-go
ORD000336,New York,Tier 1,marathon-prep
ORD000337,Florida,Tier 3,religious-fasting
ORD000338,California,Tier 1,late-night
ORD000339,Calfornia,Tier 1,religious-fasting
ORD000340,Florida,Tier 1,late-night
ORD000342,Colorado,Tier 1,road-trip
ORD000344,Calfornia,Tier 1,late-night
ORD000345,New York,Tier 3,religious-fasting
ORD000346,NY,Tier 1,late-night
ORD000347,NY,Tier 2,daily snack
ORD000348,California,Unknown,religious-fasting
ORD000349,New York,Tier 1,religious-fasting
ORD000350,Illinois,Tier 3,religious-fasting
ORD000351,Calfornia,Tier 1,road-trip
ORD000352,Florida,Tier 1,festive
ORD000353,Georgia,Tier 3,on-the-go
ORD000354,Calfornia,Tier 3,religious-fasting
ORD000355,NY,Unknown,marathon-prep
ORD000356,New York,Tier 3,religious-fasting
ORD000357,Washington,Tier 2,road-trip
ORD000358,Georgia,Tier 2,festive
ORD000359,Washington,Tier 1,road-trip
ORD000360,NY,Tier 1,late-night
ORD000361,Calfornia,Tier 2,on-the-go
ORD000362,Colorado,Tier 2,gym
ORD000363,Georgia,Tier 2,gym
ORD000364,California,Tier 2,gym
ORD000365,Georgia,Tier 2,late-night
ORD000366,NY,Unknown,marathon-prep
ORD000367,NY,Tier 1,late-night
ORD000368,NY,Tier 1,late-night
ORD000369,Washington,Tier 1,daily snack
ORD000370,Georgia,Tier 1,late-night
ORD000371,NY,Tier 1,daily snack
ORD000372,Washington,Tier 1,late-night
ORD000373,Calfornia,Tier 1,late-night
ORD000374,Florida,Tier 1,religious-fasting
ORD000375,New York,Tier 2,daily snack
ORD000377,Illinois,Tier 1,late-night
ORD000378,New York,Tier 3,late-night
ORD000379,California,Tier 1,late-night
ORD000380,Texas,Tier 1,on-the-go
ORD000381,Illinois,Tier 2,gym
ORD000382,Calfornia,Tier 2,marathon-prep
ORD000383,Colorado,Tier 1,late-night
ORD000384,Georgia,Tier 2,festive
ORD000385,Colorado,Tier 2,road-trip
ORD000386,Colorado,Tier 1,festive
ORD000387,Illinois,Tier 1,late-night
ORD000388,Georgia,Tier 2,marathon-prep
ORD000389,Washington,Tier 1,late-night
ORD000390,Colorado,Tier 1,road-trip
ORD000391,Illinois,Tier 2,festive
ORD000392,Calfornia,Tier 1,road-trip
ORD000393,Florida,Tier 2,road-trip
ORD000394,California,Tier 2,marathon-prep
ORD000395,Calfornia,Tier 1,late-night
ORD000396,NY,Tier 2,gym
ORD000397,Calfornia,Unknown,religious-fasting
ORD000398,Georgia,Tier 1,marathon-prep
ORD000399,New York,Tier 2,road-trip
ORD000400,Calfornia,Tier 1,marathon-prep
ORD000401,New York,Tier 3,gym
ORD000402,Florida,Tier 2,late-night
ORD000403,Georgia,Unknown,marathon-prep
ORD000404,New York,Tier 3,gym
ORD000405,Illinois,Tier 1,marathon-prep
ORD000406,Texas,Tier 1,late-night
ORD000407,Calfornia,Tier 1,religious-fasting
ORD000408,Washington,Tier 1,late-night
ORD000409,Georgia,Tier 2,on-the-go
ORD000410,Washington,Tier 1,daily snack
ORD000411,Washington,Tier 1,daily snack
ORD000412,New York,Tier 2,on-the-go
ORD000413,Florida,Tier 1,late-night
ORD000414,NY,Tier 2,gym
ORD000415,NY,Tier 3,gym
ORD000416,New York,Tier 2,gym
ORD000417,New York,Tier 1,late-night
ORD000418,Texas,Tier 2,gym
ORD000419,Illinois,Tier 1,festive
ORD000420,New York,Unknown,late-night
ORD000421,New York,Unknown,daily snack
ORD000423,Colorado,Tier 2,road-trip
ORD000424,Calfornia,Tier 2,religious-fasting
ORD000425,California,Tier 2,festive
ORD000426,Calfornia,Tier 2,festive
ORD000427,Illinois,Unknown,gym
ORD000428,California,Tier 3,religious-fasting
ORD000429,Georgia,Tier 3,daily snack
ORD000430,NY,Tier 1,daily snack
ORD000431,Colorado,Tier 1,daily snack
ORD000433,California,Tier 1,marathon-prep
ORD000434,Georgia,Tier 1,late-night
ORD000435,Texas,Tier 3,on-the-go
ORD000437,Colorado,Tier 1,religious-fasting
ORD000438,NY,Tier 3,religious-fasting
ORD000439,Calfornia,Tier 3,on-the-go
ORD000441,Illinois,Tier 2,late-night
ORD000442,Washington,Tier 3,late-night
ORD000443,Illinois,Unknown,daily snack
ORD000444,Florida,Tier 1,late-night
ORD000445,Illinois,Tier 1,gym
ORD000446,Washington,Tier 3,gym
ORD000447,California,Tier 3,festive
ORD000448,California,Tier 1,festive
ORD000449,Colorado,Tier 3,festive
ORD000450,Florida,Tier 3,festive
ORD000451,California,Tier 2,marathon-prep
ORD000452,California,Unknown,gym
ORD000453,New York,Tier 1,late-night
ORD000454,Florida,Tier 3,marathon-prep
ORD000455,Illinois,Tier 2,gym
ORD000456,Calfornia,Tier 1,late-night
ORD000457,California,Tier 2,on-the-go
ORD000458,Illinois,Tier 3,daily snack
ORD000459,Washington,Unknown,festive
ORD000460,California,Tier 1,late-night
ORD000461,Texas,Tier 1,late-night
ORD000462,NY,Tier 3,religious-fasting
ORD000463,Illinois,Tier 1,late-night
ORD000464,Washington,Tier 3,marathon-prep
ORD000465,Texas,Tier 3,marathon-prep
ORD000466,Georgia,Tier 1,road-trip
ORD000467,Georgia,Tier 1,religious-fasting
ORD000468,Texas,Tier 1,road-trip
ORD000469,New York,Tier 2,gym
ORD000470,California,Unknown,on-the-go
ORD000471,Georgia,Tier 3,gym
ORD000472,New York,Tier 1,late-night
ORD000473,Washington,Tier 2,festive
ORD000474,Colorado,Tier 1,late-night
ORD000475,Illinois,Tier 3,religious-fasting
ORD000477,NY,Tier 1,daily snack
ORD000478,Colorado,Unknown,on-the-go
ORD000479,Illinois,Tier 1,late-night
ORD000480,Calfornia,Tier 2,marathon-prep
ORD000481,Washington,Tier 1,late-night
ORD000482,Texas,Tier 3,gym
ORD000483,NY,Tier 2,religious-fasting
ORD000484,Florida,Tier 3,daily snack
ORD000485,Georgia,Unknown,late-night
ORD000486,Colorado,Tier 2,festive
ORD000487,Texas,Tier 2,festive
ORD000488,Georgia,Tier 2,gym
ORD000489,Calfornia,Tier 1,late-night
ORD000490,Calfornia,Tier 1,gym
ORD000491,Florida,Tier 2,festive
ORD000492,Texas,Tier 1,late-night
ORD000494,Colorado,Tier 2,marathon-prep
ORD000495,California,Tier 1,late-night
ORD000496,Florida,Tier 2,religious-fasting
ORD000497,Calfornia,Unknown,religious-fasting
ORD000498,Illinois,Tier 2,gym
ORD000499,Calfornia,Tier 1,late-night
ORD000500,Washington,Tier 2,daily snack
ORD000501,Georgia,Unknown,marathon-prep
ORD000502,Texas,Tier 1,late-night
ORD000503,NY,Tier 1,late-night
ORD000504,Calfornia,Tier 3,festive
ORD000505,Florida,Tier 1,late-night
ORD000506,Colorado,Tier 3,on-the-go
ORD000507,Calfornia,Tier 2,daily snack
ORD000508,Illinois,Tier 3,religious-fasting
ORD000509,Georgia,Tier 2,festive
ORD000510,California,Tier 1,late-night
ORD000511,California,Tier 1,late-night
ORD000512,Calfornia,Tier 1,daily snack
ORD000513,Georgia,Tier 3,marathon-prep
ORD000514,California,Tier 3,late-night
ORD000515,NY,Tier 2,late-night
ORD000516,California,Tier 3,on-the-go
ORD000517,NY,Tier 1,late-night
ORD000518,Calfornia,Tier 3,gym
ORD000519,California,Tier 1,daily snack
ORD000520,New York,Tier 3,gym
ORD000521,NY,Tier 3,late-night
ORD000522,Georgia,Tier 1,late-night
ORD000523,Washington,Tier 2,late-night
ORD000524,New York,Tier 2,festive
ORD000525,Illinois,Tier 1,gym
ORD000526,Washington,Tier 1,late-night
ORD000527,California,Tier 1,late-night
ORD000528,Texas,Tier 1,late-night
ORD000529,Florida,Unknown,late-night
ORD000530,Florida,Tier 1,late-night
ORD000531,Texas,Tier 1,late-night
ORD000532,Illinois,Tier 1,marathon-prep
ORD000533,NY,Unknown,road-trip
ORD000534,NY,Tier 2,gym
ORD000535,Florida,Unknown,road-trip
ORD000536,New York,Tier 2,festive
ORD000537,Illinois,Tier 2,religious-fasting
ORD000538,New York,Tier 3,on-the-go
ORD000539,NY,Tier 1,daily snack
ORD000540,New York,Tier 2,late-night
ORD000543,Florida,Tier 2,gym
ORD000544,Colorado,Tier 2,road-trip
ORD000545,Texas,Tier 2,festive
ORD000546,Washington,Tier 1,road-trip
ORD000548,Calfornia,Tier 3,festive
ORD000549,NY,Tier 2,gym
ORD000550,California,Unknown,marathon-prep
ORD000551,Georgia,Tier 1,religious-fasting
ORD000552,Florida,Tier 2,on-the-go
ORD000553,NY,Tier 1,religious-fasting
ORD000554,Illinois,Tier 3,religious-fasting
ORD000555,Colorado,Tier 2,daily snack
ORD000556,Florida,Tier 3,religious-fasting
ORD000557,Georgia,Tier 1,late-night
ORD000558,Texas,Unknown,late-night
ORD000559,Texas,Tier 3,on-the-go
ORD000560,Georgia,Tier 2,gym
ORD000561,Illinois,Tier 3,festive
ORD000562,Texas,Tier 1,religious-fasting
ORD000563,Washington,Tier 3,daily snack
ORD000564,Calfornia,Tier 2,on-the-go
ORD000565,Colorado,Tier 1,gym
ORD000566,Florida,Tier 2,festive
ORD000567,New York,Tier 2,late-night
ORD000568,Colorado,Tier 3,on-the-go
ORD000569,NY,Tier 1,late-night
ORD000570,California,Tier 1,festive
ORD000571,New York,Tier 1,on-the-go
ORD000572,Washington,Tier 2,daily snack
ORD000573,NY,Tier 3,on-the-go
ORD000574,Florida,Unknown,religious-fasting
ORD000575,NY,Unknown,gym
ORD000576,Calfornia,Tier 2,daily snack
ORD000577,Georgia,Tier 3,road-trip
ORD000578,Illinois,Tier 2,religious-fasting
ORD000579,Florida,Tier 3,marathon-prep
ORD000580,California,Tier 2,festive
ORD000581,Florida,Unknown,late-night
ORD000583,New York,Tier 2,marathon-prep
ORD000584,Washington,Tier 2,marathon-prep
ORD000585,Colorado,Tier 3,gym
ORD000586,Texas,Tier 1,late-night
ORD000587,Texas,Tier 1,marathon-prep
ORD000588,New York,Tier 1,festive
ORD000589,Texas,Tier 1,marathon-prep
ORD000590,Texas,Tier 1,late-night
ORD000591,Calfornia,Tier 2,marathon-prep
ORD000592,NY,Unknown,on-the-go
ORD000593,Texas,Tier 3,road-trip
ORD000594,New York,Tier 2,late-night
ORD000595,California,Tier 1,religious-fasting
ORD000596,NY,Unknown,road-trip
ORD000597,Colorado,Unknown,religious-fasting
ORD000598,New York,Unknown,religious-fasting
ORD000599,Colorado,Tier 3,marathon-prep
ORD000600,Georgia,Tier 2,festive
ORD000601,NY,Tier 2,festive
ORD000602,Washington,Tier 1,gym
ORD000603,Calfornia,Tier 1,festive
ORD000604,NY,Tier 1,late-night
ORD000605,NY,Tier 3,road-trip
ORD000606,Calfornia,Tier 2,festive
ORD000607,California,Tier 2,on-the-go
ORD000608,Georgia,Tier 2,late-night
ORD000609,Texas,Unknown,marathon-prep
ORD000610,Texas,Tier 3,road-trip
ORD000611,Washington,Tier 1,daily snack
ORD000612,Texas,Unknown,road-trip
ORD000613,New York,Tier 1,religious-fasting
ORD000614,New York,Tier 1,road-trip
ORD000615,Illinois,Tier 3,on-the-go
ORD000616,New York,Tier 1,late-night
ORD000617,Washington,Unknown,religious-fasting
ORD000619,Illinois,Tier 1,festive
ORD000620,Colorado,Unknown,road-trip
ORD000621,Texas,Unknown,religious-fasting
ORD000622,NY,Tier 1,daily snack
ORD000623,Texas,Tier 1,gym
ORD000624,Florida,Tier 3,late-night
ORD000625,Illinois,Tier 1,religious-fasting
ORD000626,NY,Tier 2,gym
ORD000627,Georgia,Tier 1,road-trip
ORD000628,Texas,Tier 1,marathon-prep
ORD000629,Colorado,Tier 2,daily snack
ORD000630,Washington,Tier 2,gym
ORD000631,NY,Tier 2,daily snack
ORD000632,Florida,Tier 2,daily snack
ORD000633,Georgia,Tier 3,late-night
ORD000634,Florida,Tier 1,late-night
ORD000635,Colorado,Tier 1,late-night
ORD000636,Calfornia,Unknown,on-the-go
ORD000637,Florida,Tier 2,daily snack
ORD000638,California,Tier 1,daily snack
ORD000639,Washington,Tier 3,late-night
ORD000640,California,Tier 1,daily snack
ORD000641,California,Unknown,road-trip
ORD000642,Illinois,Tier 1,marathon-prep
ORD000643,Colorado,Unknown,festive
ORD000644,Georgia,Tier 2,marathon-prep
ORD000646,Colorado,Tier 3,on-the-go
ORD000647,Washington,Tier 1,late-night
ORD000648,Washington,Tier 2,festive
ORD000649,NY,Tier 1,religious-fasting
ORD000650,Florida,Unknown,on-the-go
ORD000651,Calfornia,Tier 2,gym
ORD000652,Washington,Tier 2,festive
ORD000653,Georgia,Tier 2,marathon-prep
ORD000654,Florida,Tier 1,late-night
ORD000655,Colorado,Tier 3,religious-fasting
ORD000656,Georgia,Tier 2,religious-fasting
ORD000657,Florida,Unknown,marathon-prep
ORD000659,Illinois,Tier 1,on-the-go
ORD000660,Texas,Tier 3,gym
ORD000661,Texas,Tier 3,festive
ORD000662,Illinois,Unknown,daily snack
ORD000663,Calfornia,Tier 2,road-trip
ORD000664,California,Tier 1,late-night
ORD000665,Colorado,Tier 2,late-night
ORD000666,Calfornia,Tier 3,marathon-prep
ORD000667,Florida,Unknown,gym
ORD000668,Washington,Tier 2,religious-fasting
ORD000669,Calfornia,Tier 2,daily snack
ORD000670,Georgia,Tier 1,late-night
ORD000671,Georgia,Tier 2,religious-fasting
ORD000672,New York,Tier 2,on-the-go
ORD000673,NY,Tier 1,late-night
ORD000674,Colorado,Tier 3,on-the-go
ORD000675,Illinois,Unknown,gym
ORD000676,Texas,Unknown,road-trip
ORD000677,California,Tier 3,on-the-go
ORD000678,California,Tier 2,on-the-go
ORD000679,Washington,Tier 1,road-trip
ORD000680,New York,Tier 3,on-the-go
ORD000681,Texas,Tier 1,late-night
ORD000682,New York,Tier 3,road-trip
ORD000684,NY,Tier 1,late-night
ORD000685,Washington,Tier 2,religious-fasting
ORD000686,NY,Tier 1,late-night
ORD000687,Illinois,Tier 1,late-night
ORD000688,Calfornia,Tier 1,marathon-prep
ORD000689,California,Tier 3,on-the-go
ORD000690,California,Tier 3,religious-fasting
ORD000691,Georgia,Unknown,religious-fasting
ORD000692,NY,Tier 3,road-trip
ORD000693,Colorado,Tier 1,daily snack
ORD000694,Washington,Tier 3,road-trip
ORD000695,Colorado,Tier 1,late-night
ORD000696,NY,Tier 1,religious-fasting
ORD000697,California,Tier 1,road-trip
ORD000699,Colorado,Tier 2,religious-fasting
ORD000700,Calfornia,Tier 1,late-night
ORD000701,New York,Tier 2,road-trip
ORD000702,NY,Tier 2,gym
ORD000703,NY,Tier 2,religious-fasting
ORD000704,Colorado,Tier 2,festive
ORD000705,Texas,Tier 2,on-the-go
ORD000706,Illinois,Tier 2,late-night
ORD000707,California,Tier 1,late-night
