product_id,category,pack_size,current_price,recommended_price,price_change_abs,price_change_pct,current_revenue,expected_revenue,revenue_impact,current_units,expected_units,elasticity,elasticity_class,demand_cliff_price,action,risk_level
P071,Protein Bar,Single,18.11,20.65,2.54,14.03,19204.03,29178.45,9974.42,1306.0,1413.0,0.5835,MODERATELY ELASTIC,36.22,RAISE PRICE,LOW — safe to implement
P046,Supplement,Single,22.74,21.38,-1.36,-5.98,27649.69,37243.96,9594.27,1477.0,1742.0,-3.0,HIGHLY ELASTIC,45.48,SLIGHT REDUCE,HIGH — monitor weekly
P095,Protein bar,Single,18.8,18.24,-0.56,-2.98,13217.71,22252.8,9035.09,1120.0,1220.0,-3.0,HIGHLY ELASTIC,10.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P072,Unknown,4-Pack,59.01,59.01,0.0,0.0,50298.21,59187.03,8888.82,1003.0,1003.0,1.436,ELASTIC,50.0,MAINTAIN,MEDIUM — approaching demand cliff
P117,Meal Replacement,Single,22.39,24.41,2.02,9.02,18512.9,27339.2,8826.3,1209.0,1120.0,-0.8202,MODERATELY ELASTIC,44.78,RAISE PRICE,LOW — safe to implement
P023,Protein Shake,4-Pack,52.61,49.98,-2.63,-5.0,42503.63,51279.48,8775.85,908.0,1026.0,-2.5977,HIGHLY ELASTIC,40.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P074,Protein Shake,Single,54.11,52.49,-1.62,-2.99,31306.27,39944.89,8638.62,717.0,761.0,-2.0335,HIGHLY ELASTIC,30.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P012,Healthy Snack,Single,17.79,17.79,0.0,0.0,27089.71,35686.74,8597.03,2006.0,2006.0,2.4375,HIGHLY ELASTIC,35.58,MAINTAIN,LOW — safe to implement
P028,Protein Shake,Single,48.69,47.23,-1.46,-3.0,32398.76,40995.64,8596.88,811.0,868.0,-2.3448,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P043,Protein bar,Single,43.01,26.4,-16.61,-38.62,54304.06,62594.4,8290.34,1736.0,2371.0,-0.9466,MODERATELY ELASTIC,30.0,REDUCE PRICE,LOW — safe to implement
P076,Meal Replacement,Single,38.57,38.18,-0.39,-1.01,29443.02,37072.78,7629.76,948.0,971.0,-2.4112,HIGHLY ELASTIC,77.14,MAINTAIN,LOW — safe to implement
P086,Protein Bar,Single,26.3,29.72,3.42,13.0,14813.03,22200.84,7387.81,764.0,747.0,-0.1703,INELASTIC,52.6,RAISE PRICE,LOW — safe to implement
P077,Protein Bar,12-Pack,109.77,109.77,0.0,0.0,160692.35,168057.87,7365.52,1531.0,1531.0,-1.345,ELASTIC,80.0,MAINTAIN,MEDIUM — approaching demand cliff
P105,Meal Replacement,12-Pack,129.65,127.06,-2.59,-2.0,94543.89,101902.12,7358.23,780.0,802.0,-1.402,ELASTIC,110.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P022,Protein Bar,Single,28.43,29.0,0.57,2.0,53006.85,60320.0,7313.15,2037.0,2080.0,1.0522,ELASTIC,56.86,MAINTAIN,LOW — safe to implement
P119,Protein Bar,Single,20.58,20.58,0.0,0.0,21937.87,29079.54,7141.67,1413.0,1413.0,3.0,HIGHLY ELASTIC,41.16,MAINTAIN,LOW — safe to implement
P026,Electrolyte Drink,4-Pack,32.94,31.62,-1.32,-4.01,30873.99,37912.38,7038.39,1099.0,1199.0,-2.2785,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P015,Meal Replacement,Single,32.14,30.85,-1.29,-4.01,26498.66,33472.25,6973.59,968.0,1085.0,-3.0,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P054,Supplement,12-Pack,64.07,64.07,0.0,0.0,63316.19,70156.65,6840.46,1095.0,1095.0,-1.5558,ELASTIC,50.0,MAINTAIN,MEDIUM — approaching demand cliff
P089,Electrolyte Drink,Single,15.35,16.27,0.92,5.99,12256.45,18938.28,6681.83,1268.0,1164.0,-1.3709,ELASTIC,560.0,SLIGHT RAISE,MEDIUM — review after 2 weeks
P021,Healthy Snack,Single,15.74,15.27,-0.47,-2.99,14736.82,21393.27,6656.45,1293.0,1401.0,-2.7881,HIGHLY ELASTIC,31.48,SLIGHT REDUCE,LOW — safe to implement
P106,Meal Replacement,Single,23.57,22.63,-0.94,-3.99,13127.17,19597.58,6470.41,794.0,866.0,-2.2882,HIGHLY ELASTIC,10.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P138,Meal Replacement,Single,24.59,27.54,2.95,12.0,15456.08,21894.3,6438.22,812.0,795.0,-0.178,INELASTIC,49.18,RAISE PRICE,LOW — safe to implement
P029,Protein Shake,12-Pack,75.33,73.07,-2.26,-3.0,84871.11,90826.01,5954.9,1140.0,1243.0,-3.0,HIGHLY ELASTIC,80.0,SLIGHT REDUCE,LOW — safe to implement
P080,Healthy Snack,Single,36.7,34.5,-2.2,-5.99,28158.09,33775.5,5617.41,1115.0,979.0,2.0381,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,HIGH — monitor weekly
P024,Supplement,Single,19.37,20.34,0.97,5.01,19229.59,24794.46,5564.87,1305.0,1219.0,-1.3209,ELASTIC,38.74,SLIGHT RAISE,MEDIUM — review after 2 weeks
P084,Supplement,Single,20.16,19.56,-0.6,-2.98,19508.95,24919.44,5410.49,1197.0,1274.0,-2.1525,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P006,Protein Shake,Single,10.73,12.12,1.39,12.95,9934.63,15343.92,5409.29,1275.0,1266.0,-0.0517,INELASTIC,21.46,RAISE PRICE,LOW — safe to implement
P031,Healthy Snack,Single,20.77,21.81,1.04,5.01,15490.38,20632.26,5141.88,997.0,946.0,-1.0239,ELASTIC,510.0,SLIGHT RAISE,MEDIUM — review after 2 weeks
P051,Protein Shake,4-Pack,40.31,26.4,-13.91,-34.51,47925.83,52879.2,4953.37,1886.0,2003.0,-0.1795,INELASTIC,30.0,REDUCE PRICE,LOW — safe to implement
P092,Protein Bar,Single,11.7,8.8,-2.9,-24.79,21275.42,25115.2,3839.78,2452.0,2854.0,-0.6616,MODERATELY ELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P121,Protein Shake,4-Pack,58.3,65.88,7.58,13.0,59003.14,62454.24,3451.1,948.0,948.0,0.0,INELASTIC,116.6,RAISE PRICE,LOW — safe to implement
P069,Meal Replacement,Single,14.89,17.27,2.38,15.98,13198.65,16147.45,2948.8,1004.0,935.0,-0.4272,INELASTIC,29.78,RAISE PRICE,LOW — safe to implement
P144,Meal Replacement,4-Pack,69.09,67.71,-1.38,-2.0,123375.82,126279.15,2903.33,1817.0,1865.0,-1.3211,ELASTIC,40.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P148,Protein Bar,Single,20.65,17.6,-3.05,-14.77,14228.67,16966.4,2737.73,750.0,964.0,-1.931,ELASTIC,20.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P112,Electrolyte Drink,Single,11.85,8.8,-3.05,-25.74,12940.04,15646.4,2706.36,1327.0,1778.0,-1.3213,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P067,Supplement,Single,12.74,8.8,-3.94,-30.93,11265.29,13745.6,2480.31,1106.0,1562.0,-1.3333,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P033,Healthy Snack,Single,30.34,29.43,-0.91,-3.0,41864.41,44321.58,2457.17,1655.0,1506.0,3.0,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P047,Meal Replacement,Single,16.1,15.62,-0.48,-2.98,15462.27,17916.14,2453.87,1053.0,1147.0,-3.0,HIGHLY ELASTIC,32.2,SLIGHT REDUCE,LOW — safe to implement
P027,Protein Shake,12-Pack,61.53,60.3,-1.23,-2.0,75468.53,77787.0,2318.47,1257.0,1290.0,-1.3202,ELASTIC,70.0,SLIGHT REDUCE,LOW — safe to implement
P131,Protein Shake,12-Pack,147.04,96.8,-50.24,-34.17,194989.35,197278.4,2289.05,1329.0,2038.0,-1.5613,ELASTIC,110.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P145,Healthy Snack,Single,8.92,9.46,0.54,6.05,11420.21,13603.48,2183.27,1618.0,1438.0,-1.8333,ELASTIC,17.84,SLIGHT RAISE,MEDIUM — review after 2 weeks
P018,Protein Bar,Single,26.26,25.21,-1.05,-4.0,23117.15,25210.0,2092.85,900.0,1000.0,-2.776,HIGHLY ELASTIC,52.52,SLIGHT REDUCE,LOW — safe to implement
P034,Protein Shake,Single,20.98,20.77,-0.21,-1.0,18794.71,20209.21,1414.5,945.0,973.0,-3.0,HIGHLY ELASTIC,10.0,MAINTAIN,MEDIUM — approaching demand cliff
P011,Protein Shake,Single,26.6,27.4,0.8,3.01,15852.86,17262.0,1409.14,656.0,630.0,-1.329,ELASTIC,53.2,SLIGHT RAISE,LOW — safe to implement
P139,Healthy Snack,Single,31.29,30.35,-0.94,-3.0,24598.77,25706.45,1107.68,777.0,847.0,-3.0,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P126,Meal Replacement,Single,11.4,8.8,-2.6,-22.81,7965.08,8782.4,817.32,743.0,998.0,-1.5061,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P137,Protein Shake,Single,5.74,6.03,0.29,5.05,9607.81,10033.92,426.11,1780.0,1664.0,-1.2906,ELASTIC,11.48,SLIGHT RAISE,MEDIUM — review after 2 weeks
P052,Healthy Snack,Single,16.91,8.8,-8.11,-47.96,17081.53,17397.6,316.07,1251.0,1977.0,-1.2097,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P094,Protein Bar,Single,10.45,10.35,-0.1,-0.96,6854.7,7027.65,172.95,666.0,679.0,-2.0,HIGHLY ELASTIC,20.9,MAINTAIN,LOW — safe to implement
P113,Meal Replacement,4-Pack,75.28,73.77,-1.51,-2.01,57582.99,57688.14,105.15,753.0,782.0,-1.8898,ELASTIC,60.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P143,Protein Bar,Single,21.98,20.66,-1.32,-6.01,30007.62,30039.64,32.02,1773.0,1454.0,3.0,HIGHLY ELASTIC,43.96,SLIGHT REDUCE,HIGH — monitor weekly
P114,Healthy Snack,Single,17.5,17.6,0.1,0.57,30645.35,30641.6,-3.75,1755.0,1741.0,-1.3765,ELASTIC,20.0,MAINTAIN,LOW — safe to implement
P101,Protein Shake,Single,19.97,19.77,-0.2,-1.0,21403.42,20620.11,-783.31,1072.0,1043.0,2.6667,HIGHLY ELASTIC,39.94,MAINTAIN,LOW — safe to implement
P093,Protein bar,Single,24.26,17.6,-6.66,-27.45,24736.2,23936.0,-800.2,1091.0,1360.0,-0.899,MODERATELY ELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P111,Protein Shake,Single,15.65,8.8,-6.85,-43.77,11123.15,10234.4,-888.75,932.0,1163.0,-0.5654,MODERATELY ELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P124,Meal Replacement,Single,22.24,8.8,-13.44,-60.43,16924.86,16016.0,-908.86,1008.0,1820.0,-1.3333,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P136,Electrolyte Drink,4-Pack,28.12,28.96,0.84,2.99,51060.99,50129.76,-931.23,1669.0,1731.0,1.2446,ELASTIC,56.24,SLIGHT RAISE,LOW — safe to implement
P142,Protein Shake,12-Pack,65.03,61.6,-3.43,-5.27,88025.86,86178.4,-1847.46,1387.0,1399.0,-0.1631,INELASTIC,70.0,SLIGHT REDUCE,LOW — safe to implement
P030,Electrolyte Drink,Single,12.55,8.8,-3.75,-29.88,16677.24,14537.6,-2139.64,1820.0,1652.0,0.3084,INELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P009,Electrolyte Drink,Single,34.61,32.53,-2.08,-6.01,41585.31,39393.83,-2191.48,1477.0,1211.0,3.0,HIGHLY ELASTIC,20.0,SLIGHT REDUCE,HIGH — monitor weekly
P123,Protein Shake,Single,13.64,8.8,-4.84,-35.48,17673.84,15382.4,-2291.44,1748.0,1748.0,0.0,INELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P082,Protein bar,Single,15.51,15.98,0.47,3.03,17450.17,15117.08,-2333.09,985.0,946.0,-1.2919,ELASTIC,31.02,SLIGHT RAISE,LOW — safe to implement
P146,Protein Shake,Single,29.58,8.8,-20.78,-70.25,16352.14,13710.4,-2641.74,739.0,1558.0,-1.5777,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P134,Protein bar,Single,32.76,17.6,-15.16,-46.28,30871.14,28036.8,-2834.34,1184.0,1593.0,-0.747,MODERATELY ELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P147,Protein Shake,Single,19.29,8.8,-10.49,-54.38,15710.91,12592.8,-3118.11,1073.0,1431.0,-0.6142,MODERATELY ELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P107,Electrolyte Drink,Single,13.46,8.8,-4.66,-34.62,12871.42,9724.0,-3147.42,834.0,1105.0,-0.9377,MODERATELY ELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P128,Meal Replacement,Single,22.58,17.6,-4.98,-22.05,27892.22,24534.4,-3357.82,1380.0,1394.0,-0.0473,INELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P099,Supplement,Single,20.41,8.8,-11.61,-56.88,17816.89,13032.8,-4784.09,1329.0,1481.0,-0.2014,INELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P048,Supplement,4-Pack,56.15,35.2,-20.95,-37.31,59744.24,54947.2,-4797.04,1544.0,1561.0,-0.0296,INELASTIC,40.0,REDUCE PRICE,LOW — safe to implement
P041,Healthy Snack,Single,10.81,8.8,-2.01,-18.59,23193.36,17520.8,-5672.56,2530.0,1991.0,1.1458,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P087,Protein Shake,Single,14.29,8.8,-5.49,-38.42,14043.52,8210.4,-5833.12,1250.0,933.0,0.6597,MODERATELY ELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P063,Protein bar,12-Pack,152.27,152.27,0.0,0.0,228105.87,222009.66,-6096.21,1458.0,1458.0,-1.8192,ELASTIC,120.0,MAINTAIN,MEDIUM — approaching demand cliff
P097,Protein Bar,Single,62.5,17.6,-44.9,-71.84,46799.36,40004.8,-6794.56,1166.0,2273.0,-1.322,ELASTIC,20.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P085,Protein Bar,4-Pack,112.62,103.61,-9.01,-8.0,139943.24,133138.85,-6804.39,1592.0,1285.0,2.4111,HIGHLY ELASTIC,50.0,REDUCE PRICE,HIGH — monitor weekly
P141,Healthy Snack,4-Pack,70.67,44.0,-26.67,-37.74,71596.67,63888.0,-7708.67,1260.0,1452.0,-0.4042,INELASTIC,50.0,REDUCE PRICE,LOW — safe to implement
P003,Protein Shake,Single,20.59,8.8,-11.79,-57.26,17750.4,9521.6,-8228.8,1578.0,1082.0,0.5494,MODERATELY ELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P058,Protein bar,Single,16.62,8.8,-7.82,-47.05,15758.67,7145.6,-8613.07,1477.0,812.0,0.9572,MODERATELY ELASTIC,10.0,REDUCE PRICE,LOW — safe to implement
P040,Supplement,Single,12.94,8.8,-4.14,-31.99,14056.67,5324.0,-8732.67,1353.0,605.0,1.7279,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P127,Supplement,12-Pack,125.36,125.36,0.0,0.0,164802.0,153942.08,-10859.92,1228.0,1228.0,-1.1961,ELASTIC,110.0,MAINTAIN,MEDIUM — approaching demand cliff
P010,Healthy Snack,Single,29.19,17.6,-11.59,-39.71,24421.95,13446.4,-10975.55,878.0,764.0,0.3278,INELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P049,Protein Shake,Single,42.61,17.6,-25.01,-58.7,41864.12,29620.8,-12243.32,1740.0,1683.0,0.056,INELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P062,Protein bar,Single,30.9,17.6,-13.3,-43.04,36421.1,23232.0,-13189.1,1662.0,1320.0,0.4784,INELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P038,Protein Bar,Single,18.55,8.8,-9.75,-52.56,16819.04,3599.2,-13219.84,1399.0,409.0,1.3458,ELASTIC,10.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P037,Supplement,4-Pack,74.75,52.8,-21.95,-29.36,93121.5,79622.4,-13499.1,1508.0,1508.0,0.0,INELASTIC,60.0,REDUCE PRICE,LOW — safe to implement
P001,Electrolyte Drink,Single,47.4,17.6,-29.8,-62.87,33163.36,17142.4,-16020.96,974.0,974.0,0.0,INELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P039,Protein Shake,4-Pack,88.47,35.2,-53.27,-60.21,56411.4,39600.0,-16811.4,935.0,1125.0,-0.3379,INELASTIC,40.0,REDUCE PRICE,LOW — safe to implement
P110,Protein bar,4-Pack,71.35,67.07,-4.28,-6.0,114331.91,96849.08,-17482.83,1660.0,1444.0,2.1728,HIGHLY ELASTIC,60.0,SLIGHT REDUCE,HIGH — monitor weekly
P103,Protein Shake,4-Pack,36.64,26.4,-10.24,-27.95,50753.03,33000.0,-17753.03,1668.0,1250.0,0.8971,MODERATELY ELASTIC,30.0,REDUCE PRICE,LOW — safe to implement
P066,Protein bar,Single,29.36,17.6,-11.76,-40.05,21870.54,3766.4,-18104.14,808.0,214.0,1.8345,ELASTIC,20.0,REDUCE PRICE,MEDIUM — review after 2 weeks
P133,Protein bar,4-Pack,60.01,44.0,-16.01,-26.68,71197.74,50996.0,-20201.74,1173.0,1159.0,0.0446,INELASTIC,50.0,REDUCE PRICE,LOW — safe to implement
P081,Protein Bar,12-Pack,91.56,89.73,-1.83,-2.0,160952.36,140517.18,-20435.18,1615.0,1566.0,1.5302,ELASTIC,70.0,SLIGHT REDUCE,MEDIUM — approaching demand cliff
P014,Protein Shake,4-Pack,74.29,35.2,-39.09,-52.62,80179.07,59065.6,-21113.47,1678.0,1678.0,0.0,INELASTIC,40.0,REDUCE PRICE,LOW — safe to implement
P115,Protein Bar,4-Pack,52.27,35.2,-17.07,-32.66,44984.34,23795.2,-21189.14,824.0,676.0,0.5503,MODERATELY ELASTIC,40.0,REDUCE PRICE,LOW — safe to implement
P125,Meal Replacement,4-Pack,70.84,35.2,-35.64,-50.31,61391.3,32243.2,-29148.1,1026.0,916.0,0.2134,INELASTIC,40.0,REDUCE PRICE,LOW — safe to implement
P056,Protein Shake,Single,46.35,17.6,-28.75,-62.03,43614.1,12144.0,-31470.1,1494.0,690.0,0.8672,MODERATELY ELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
P068,Healthy Snack,Single,60.81,17.6,-43.21,-71.06,53455.52,20152.0,-33303.52,1169.0,1145.0,0.0284,INELASTIC,20.0,REDUCE PRICE,LOW — safe to implement
